,LR Chisq,Df,Pr(>Chisq),,LR Chisq,Df,Pr(>Chisq),,LR Chisq,Df,Pr(>Chisq)
genotype,13,2,0.0012,genotype,17,2,0.00022,genotype,5.3,2,0.071
sex,1.4,1,0.23,sex,0.42,1,0.52,sex,4.8,1,0.028
start_time_group,5.2,2,0.076,start_time_group,1.3,2,0.52,start_time_group,2.6,2,0.28
,,,,tank,0.26,2,0.88,tank,2,3,0.57
,,,,,,,,day,1.1,1,0.3
genotype:sex,0.078,2,0.96,genotype:sex,5.5,2,0.063,genotype:sex,3.2,2,0.21
